Proj ID,Status,Title,RDC,Start Year,End Year,PI,Abstract,No. Datasets,DataName1,DataCode1,DataName2,DataCode2,DataName3,DataCode3,DataName4,DataCode4,DataName5,DataCode5,DataName6,DataCode6,DataName7,DataCode7,DataName8,DataCode8,DataName9,DataCode9,DataName10,DataCode10,DataName11,DataCode11,DataName12,DataCode12,DataName13,DataCode13,DataName14,DataCode14,DataName15,DataCode15,DataName16,DataCode16,DataName17,DataCode17,DataName18,DataCode18,DataName19,DataCode19,DataName20,DataCode20,DataName21,DataCode21,DataName22,DataCode22,DataName23,DataCode23,DataName24,DataCode24,DataName25,DataCode25,DataName26,DataCode26,DataName27,DataCode27,DataName28,DataCode28,DataName29,DataCode29,DataName30,DataCode30,DataName31,DataCode31,DataName32,DataCode32,DataName33,DataCode33,DataName34,DataCode34,DataName35,DataCode35,DataName36,DataCode36,DataName37,DataCode37,DataName38,DataCode38,DataName39,DataCode39,DataName40,DataCode40,DataName41,DataCode41,DataName42,DataCode42,DataName43,DataCode43,DataName44,DataCode44,DataName45,DataCode45,DataName46,DataCode46,DataName47,DataCode47,DataName48,DataCode48,DataName49,DataCode49,DataName50,DataCode50,DataName51,DataCode51,DataName52,DataCode52,DataName53,DataCode53,DataName54,DataCode54,DataName55,DataCode55,DataName56,DataCode56,DataName57,DataCode57,DataName58,DataCode58,No. Researchers,Researcher1,Researcher2,Researcher3,Researcher4,Researcher5,Researcher6,Researcher7,Researcher8,Researcher9,Researcher10,Researcher11,Researcher12,Researcher13,Researcher14,Researcher15,Researcher16,Researcher17,Researcher18,Researcher19,Researcher20,Researcher21,Researcher22,Researcher23,Researcher24,Researcher25,Researcher26,Researcher27,Researcher28,Researcher29,Researcher30,Researcher31,Researcher32,Researcher33,Researcher34
829,Completed,Community Hazard Mitigation and the Community Rating System of the National Flood Insurance Program,Triangle,2011,2012.0,Jingyuan Li,"Little empirical evidence exists to shed light on what factors influence the establishment of local hazard mitigation projects. One objective of this study is to provide such evidence through an examination of patterns in Community Rating System (CRS) scores across a panel of National Flood Insurance Program (NFIP) communities. In the process, this work will benefit the Census Bureau by developing means for increasing the utility of Bureau-collected data, linking relevant external data, and producing population estimates. The researchers will test a number of hypotheses previously offered to explain why some local governments adopt hazard mitigation but others do not. Research will focus on flood hazard mitigation projects in 1104 NFIP communities in North Carolina, South Carolina, and Georgia between 2005 and 2009, but the results will generalize across other flood-prone communities around the nation. By examining the influence of physical, risk, and socioeconomic factors on community hazard mitigation decisions as reflected in CRS scores for these areas, the results will forge a better understanding of community decision making under natural hazard risk on a national scale.",1,American Community Survey,ACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Jingyuan Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Completed,Productivity over Time and Space:  Estimates for States and Counties 1976 - 2007,Baruch,2011,2014.0,Lucy M Goodhart,"This project will estimate plant-level total factor productivity (TFP) for manufacturing plants in the U.S. over the period 1976 to 2005, and will use these estimates to calculate aggregate or average TFP by state, MSA, and county. The project will examine how spatial divergence across states and counties has changed over the sample period. This analysis is prompted by findings that investments in information and communications technology are complementary with the existing base of human capital and skills in a given location. Given that U.S. cities are increasingly divergent in their stocks of human capital, the research tests whether productivity in manufacturing has also become more geographically disparate. A second objective is to test whether local area productivity is related to earnings and employment outcomes at the individual level and to individuals' attitudes towards trade liberalization and government spending. This component is motivated by a literature on the consequences of productivity for workers, relating productivity to wages and risk of job loss. Using the data on average TFP by state, county, and MSA from the first part of this project, the second component tests the effect of aggregate TFP in manufacturing in the local area on earnings and employment using data from the Annual Social and Economic Supplement of the Current Population Survey. Finally, and given the links drawn between risks to employment and earnings and individual attitudes towards trade liberalization and government spending, the research tests whether aggregate TFP in the local area correlates with these individual attitudes. The latter section of the research employs public-use data from the American National Election Study.",4,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,Current Population Survey March Supplement,CPS,Longitudinal Business Database - No Revenue,LBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Lucy M Goodhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,Completed,The Emergence of Wage Discrimination in US Manufacturing,Chicago,2010,2012.0,Joyce Burnette,"This project will link firms in the Census of Manufactures to workers in the LEHD files in order to estimate production functions with labor disaggregated by gender and age.  The production functions will provide estimates of relative female productivity, which can be compared to relative female earnings, producing a better test of wage discrimination than is currently available.  We will determine whether disaggregating labor by age and gender improves the imputation of output. ",6,Census of Manufactures,CMF,LEHD Business Register Bridge (BRB) - 2008,LEHD-BRB-2008,LEHD Employer Characteristics File (ECF) - 2008,LEHD-ECF-2008,LEHD Employment History File (EHF) - 2008,LEHD-EHF-2008,LEHD Individual Characteristics File (ICF) - 2008,LEHD-ICF-2008,LEHD Unit-to-Worker (U2W) - 2008,LEHD-U2W-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Completed,Understanding Organizational Factors Behind Firm Performance Heterogeneity,Michigan,2010,2015.0,Yue M Zhou,This project focuses on internal organization as an explanation for firm performance heterogeneity. It explores two broad categories of organization factors: (1) the cost of coordinating the various activities that firms carry out in house and (2) the organization structures firms adopt to facilitate coordination. ,17,Annual Capital Expenditures Survey,ACE,Annual Survey of Manufactures,ASM,Auxiliary Establishment - ES9200,AUX,Commodity Flow Survey,CFS,Census of Manufactures,CMF,Compustat-SSEL Bridge,CSB,Foreign Trade Data - Export,EXP,Foreign Trade Data - Import,IMP,Longitudinal Business Database - No Revenue,LBD,LEHD Business Register Bridge (BRB) - 2008,LEHD-BRB-2008,LEHD Employer Characteristics File (ECF) - 2008,LEHD-ECF-2008,Longitudinal Foreign Trade Transactions Database,LFTTD,Ownership Change Database,OCD,Survey of Pollution Abatement Costs and Expenditures,PAC,Survey of Industrial Research and Development,SIRD,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Aaron B Flaaen,Xiaoyang Li,Nitya Pandalai Nayar,Yixin Wang,Yue M Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Completed,Gaps in Health Coverage among Mexican Immigrant Children:  How Much Does Legal Status Matter? (SIPP Small Grants Project),Washington,2010,2011.0,Deborah R Graefe,"This study aims to document the patterns of health insurance coverage among children in Mexican-immigrant families, comparing Mexican children of immigrants (i.e., children having at least one Mexican immigrant parent) and children with U.S.-born parents, both inter- and intra-ethnically, with particular attention to child and parent documentation status. The project uses the 1996, 2001, 2004, and 2008 SIPP panels, including core and topical module files. The restricted-use internal SIPP files provide information regarding immigration status at the time the immigrant respondent arrived in the United States to develop an algorithm for estimating immigrant parent and child documentation in public use files.  Descriptive results, including cumulative proportions experiencing transitions to and from coverage, based on life table analyses, will demonstrate the patterns and trajectories for each comparison group. ",1,Survey of Income and Program Participation (SIPP) Panels,SIPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Completed,"Geographic Deregulation of U.S. Banking, Market Selection, and Economic Growth",Triangle,2011,2016.0,Joel Melendez-Lugo,"This study investigates how changes in state banking laws affect firms' access to credit, asset accumulation, and economic performance. Work will focus on manufacturing firms but will also investigate how banking law changes affect other sectors of the economy. The research uses the Quarterly Survey of Plant Capacity (QPC), the Annual Survey of Manufactures (ASM), the Census of Manufactures (CMF), and the Longitudinal Business Database to analyze the effects of banking deregulation on plant-level output, employment, investment, productivity, and capital-to-labor ratios. Further, the project investigates the influence of banking deregulation on the market selection process and the reallocation of resources across manufacturing plants. The study will also use the Survey of Business Owners and the Integrated Longitudinal Business Database to provide a direct research link between credit markets and the productive sector by identifying firms that use debt to finance startup capital. This will allow the researchers to investigate whether banking deregulation affects access to credit for new businesses or the future performance and asset accumulation of borrowing firms. The research will benefit the Census Bureau by studying the quality of the data in the recently launched QPC. The researchers will compare the data in the QPC to data in the ASM and CMF, in addition to using the QPC (and it predecessor, the annual Survey of Plant Capacity Utilization) to study variation in capacity utilization rates across states. The analysis of capacity utilization variation will be performed in order to evaluate whether the QPC can be used to make inferences at the state level.  Finally, this work will benefit the Bureau by producing population estimates of how changes in state banking regulations affect firms' access to credit and asset accumulation, and how such changes influence the manufacturing sector in terms of the economic performance and input choices of plants, the reallocation of resources, and the market selection process.",7,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,Integrated Longitudinal Business Database,ILBD,Longitudinal Business Database - No Revenue,LBD,Survey of Plant Capacity Utilization,PCU,Quarterly Survey of Plant Capacity Utilization (formerly known as PCU),QPC,Survey of Business Owners,SBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Joel Melendez-Lugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Active,The Antecedents and Consequences of Employee Entrepreneurship,Minnesota,2012,,Benjamin A Campbell,"This research will examine the antecedents and consequences of employee entrepreneurship within and across multiple levels of analysis. There is little extant literature that explores the importance of interactions across multi-levels in the origination of employee entrepreneurship and its effects on entrepreneurs, the firms that they exit, the firms that they form, and the industries in which they operate. This project studies these issues from a multi-level perspective focusing on the individual level, the establishment level, and the industry level, as well as interactions across levels.",10,Decennial Census,CEN,BOC PIK Crosswalk Census Unedited File (CUF),CENSUS_CROSSWALK_CUF,Compustat-SSEL Bridge,CSB,Kauffman Firm Survey,KFS,LEHD Business Register Bridge (BRB) - 2008,LEHD-BRB-2008,LEHD Employer Characteristics File (ECF) - 2008,LEHD-ECF-2008,LEHD Employment History File (EHF) - 2008,LEHD-EHF-2008,LEHD Individual Characteristics File (ICF) - 2008,LEHD-ICF-2008,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,Benjamin A Campbell,Seth Carnahan,Joonkyu Choi,Alena D Clarke,Justin Frake,Martin Ganco,Brent Goldfarb,Florence E Honore,Benjamin C King,Daniel M Olson,Nicholas Poggioli,Geoffrey A Tate,Liu A Yang,,,,,,,,,,,,,,,,,,,,,
848,Completed,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit",USC,2012,2021.0,Gordon M Phillips,"This project tests for key relationships between entrepreneurship, personal credit and income history, and firm success. In particular, this research will shed light on the role of credit constraints on individual decisions regarding personal and business finance. These relationships are essential for understanding (a) consumption patterns including delinquency, default, and bankruptcy; (b) formation, success, and failure of small business funded by personal finance; (c) the link between human capital accumulation and the availability of credit; and (d) firm credit history and the mergers and acquisitions of firms.",23,Annual Capital Expenditures Survey,ACE,Annual Survey of Manufactures,ASM,Auxiliary Establishment - ES9200,AUX,Business Enterprise Research and Development Survey (BERD),BERD,BOC PIK Crosswalk Transunion Credit File,CENSUS_CROSSWALK_TU,Census of Manufactures,CMF,Transunion Credit File,COMM_TU,Compustat-SSEL Bridge,CSB,Integrated Longitudinal Business Database,ILBD,Longitudinal Business Database - No Revenue,LBD,LEHD Business Register Bridge (BRB) - 2008,LEHD-BRB-2008,LEHD Employer Characteristics File (ECF) - 2008,LEHD-ECF-2008,LEHD Employment History File (EHF) - 2008,LEHD-EHF-2008,LEHD Individual Characteristics File (ICF) - 2008,LEHD-ICF-2008,LEHD Successor-Predecessor File (SPF) - 2008,LEHD-SPF-2008,LEHD Unit-to-Worker (U2W) - 2008,LEHD-U2W-2008,Ownership Change Database,OCD,Quarterly Financial Report Census Years,QFRCEN,Survey of Business Owners,SBO,Survey of Industrial Research and Development,SIRD,Survey of Manufacturing Technology,SMT,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Jacob S Adenbaum,Jianqiu Bai,John C Braxton,Daniel R Carvalho,Brent Goldfarb,Kyle F Herkenhoff,Yuan Li,Markus Lithell,Brian Littenberg,Georgios Magkotsios,Vojislav Maksimovic,Seoyeon Moon,Gordon M Phillips,Lawrence D Schmidt,Arlene Wong,Liu A Yang,,,,,,,,,,,,,,,,,,
851,Completed,Multiple-father fertility: Prevalence and connection to the criminal justice system (SIPP Small Grants),Berkeley,2010,2013.0,Eirik Evenhouse,"We will compute estimates of the prevalence of multiple-father fertility from 1985-2008. We will examine, at the MSA level, the correlation between multiple-father fertility and rates of male involvement with the criminal justice system.  We will build on these estimates to further investigate the  impact of TANF policy and child support enforcement policy on multipartnered fertility.  Security clearance is necessary because, starting with SIPP 2004, a respondent's MSA is no longer reported, and we propose to conduct an MSA-level analysis. ",2,Survey of Income and Program Participation - Longitudinal,SIP-LON,Survey of Income and Program Participation (SIPP) Panels,SIPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Completed,Firm Level Adjustment of U.S. Food Firms to Globalization,Penn State,2016,2019.0,Pinar Celikkol Geylani,"This project analyzes food manufacturing firms’ adjustment to globalization by investigating the linkages among productivity, exports and imports, and the role of mergers and acquisitions on firms’ decisions to conduct arm’s length transactions as opposed to intra-firm trade. This project will shed light on the impact of trade in the following areas of the food manufacturing industry: (1) changes in product mix and product proliferation as well as changes in employment due to import competition and trade reforms; (2) the relationship between mergers and acquisitions and firms’ decisions to engage in arm’s length vs. intra-firm trade; (3) productivity differences between firms engaged in trade relative to those that are not; (4) innovation and product differentiation as engines for growth which promote competitiveness (measured as returns to factors of production). For the productivity estimation, this project applies a methodology to adjust the measurement of productivity by taking into consideration both simultaneity and omitted price variable biases. The industries where firms have differentiated products, as in the food manufacturing industry, have biased coefficient estimates using the general approach.",7,Annual Survey of Manufactures,ASM,Census of Manufactures,CMF,Foreign Trade Data - Export,EXP,Foreign Trade Data - Import,IMP,Longitudinal Business Database - No Revenue,LBD,Longitudinal Foreign Trade Transactions Database,LFTTD,Ownership Change Database,OCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Pinar Celikkol Geylani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Completed,The effect of shipping costs on product quality choices,Chicago,2012,2016.0,Jonathan I Dingel,"This project investigates the relationship between product quality and shipping costs. Using the Commodity Flow Surveys and the Census of Manufactures of 1997, 2002, and 2007, establishment-level regressions of output unit values on shipment distance, and input unit values on average shipment distance, will test whether establishments sell higher-quality goods to more distant destinations. Using these domestic data is a significant improvement relative to existing studies (which use national export data) due to the precision of the distance measures and the data on shipments originating from many locations.",3,Commodity Flow Survey,CFS,Census of Manufactures,CMF,Longitudinal Business Database - No Revenue,LBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Completed,Exploring How Neighborhood Quality Influences Household Residential Choices,Baruch,2011,2016.0,Keren M Horn,"Understanding which factors attract households to particular neighborhoods provides a critical lens into neighborhood change. Previous research has found that the neighborhood choices of in-moving households are important drivers of neighborhood change. We still know very little about what neighborhood factors drive these location decisions. This research project explores whether the quality of the zoned public school, the crime rate, and/or the racial composition of a neighborhood differentially attract particular types of households to that neighborhood. Four key dimensions of households – their tenure, income, race, and presence of children – provide the focus for this research.  Using the internal versions of the Decennial Census, the American Community Survey, and the American Housing Survey, along with rich external datasets describing neighborhood characteristics, this project will overcome existing data limitations that have prevented researchers from gaining insight into how neighborhood quality influences household residential choices. These detailed microdata will be employed to estimate separately which neighborhood factors attract households to particular neighborhoods and then model household neighborhood choice, incorporating information on previous residence to improve the specification.  Part of this project will conduct an in-depth exploration of item response rates in each of the different surveys used in order to gain a sense of the quality of the data on previous residence. It will take advantage of the changes in the ways in which the question is asked to see how changing the phrasing of the previous residence variable influences item response rates. We will also examine how differences in survey administration influence item response rates. ",4,American Community Survey,ACS,American Community Survey Unedited Microdata,ACSUNEDIT,American Housing Survey,AHS,Decennial Census,CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Keren M Horn,Davin Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Completed,"Exploration of the Use of Freight Demand Models to Identify Outliers, Data Coding Errors, and Improve Sample Design of the Commodity Flow Survey",Baruch,2012,2019.0,Jose Holguin-Veras,"The project entails systematic econometric modeling of a number of freight demand processes: freight generation, distribution, mode/vehicle choice. The goals are to: (1) test the usefulness and practicality of using these models to identify outliers in the Census Bureau’s Commodity Flow Survey and improve sample design, and (2) provide the transportation planning community with a set of basic freight demand models to support the planning process, infrastructure renewal decisions, and analyses of policies to spur economic activity. ",4,Commodity Flow Survey,CFS,Census of Manufactures,CMF,Longitudinal Business Database - No Revenue,LBD,Standard Statistical Establishment Listing,SSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Shama Campbell,Carlos A Gonzalez-Calderon,Lokesh Kalahasthi,Ivan D Sanchez-Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Completed,Explaining the Increase in Supplemental Nutrition Assistance Program Caseloads During the Recovery of 2003-2007: Decomposing the Determinants of SNAP Caseload Levels,Chicago,2010,2013.0,Janna E Johnson,"Using the Survey of Income and Program Participation, this project will analyze the determinants of participation in the Supplemental Nutrition Assistance Program (SNAP, formerly the Food Stamp Program) with a special emphasis on examining the increase in caseload levels during the period 2003-2007.",2,Survey of Income and Program Participation - Longitudinal,SIP-LON,Survey of Income and Program Participation (SIPP) Panels,SIPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Zachary Levinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Completed,The Power of the Pill in Shaping U.S. Fertility and Childbearing Behavior,Michigan,2011,2016.0,Emily G Collins,"Despite celebrating the 50th anniversary of the FDA approval of the oral contraceptive pill, significant scholarly debate remains about the role that the Pill played in the dramatic demographic shifts of the 1960s. Estimating the causal impact of the Pill has been difficult because of the coincidence of its release with the peak of the baby boom, the rise of the women's movement, and many other social changes that render standard inter-temporal comparisons invalid. Bailey (2010) developed a quasi-experimental empirical strategy to address these problems. Specifically, she uses state-level variation in anti-obscenity ""Comstock laws"" which made the Pill illegal in 24 states, in conjunction with the timing of the introduction of the Pill in 1957 and the Supreme Court's decision to strike down Connecticut's Comstock statute in 1965 with Griswold v. Connecticut. This project proposes to use data from both the publicly available IPUMS and the restricted-access microdata from the decennial censuses to pursue three specific scientific aims:  (1) To use individual county-identifiers to develop and test a distance-based regression discontinuity methodology for estimating the impact of the birth control pill on completed fertility; (2) To use individual county-identifiers and the methodology in (1) to quantify the impact of the birth control pill on completed fertility, marital outcomes, child quality, and female labor force participation; and (3) To use this methodology to examine the impact of the birth control pill on disparities in these outcomes by race and education level.",1,Decennial Census,CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Jacob Bastian,Jamein P Cunningham,Olga Malkova,Johannes Norling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Completed,Trade Flows at Narrow Geographic Detail and the Location of Manufacturing,Minnesota,2013,2018.0,Thomas J Holmes,"This research will examine the flow of goods at narrow geographic and industry detail. This will include imports, exports, as well as internal flows within the United States – such as shipment of drywall from China to Miami, or a shipment of medical equipment by a firm in Minneapolis to Boston or Toronto. This study will estimate an economic model of trade flows that will explicitly incorporate the possibility that goods may move through the wholesale sector. This project will produce industry-level parameters related to transportation cost and the use of wholesaling. It will then use these estimates to evaluate the impact of increased international trade on the regional distribution of manufactures.",12,Census of Construction Industries,CCN,Commodity Flow Survey,CFS,Census of Manufactures,CMF,Census of Mining,CMI,Census of Retail Trade,CRT,Census of Wholesale Trade,CWH,Foreign Trade Data - Export,EXP,Foreign Trade Data - Import,IMP,Longitudinal Business Database - No Revenue,LBD,Longitudinal Foreign Trade Transactions Database,LFTTD,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Mons Chan,Thomas J Holmes,Matthew H Shapiro,Ethan Singer,Dominic Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Completed,Measuring the Impact of Trade on the U.S. Economy,Boston,2012,2017.0,J Bradford Jensen,"This research will track large firms over time in both the Census Bureau trade transaction data and its Business Register. By tracking firms with large volumes of imports and exports, we will test the methodology used to create the Longitudinal Foreign Trade Transactions Database (LFTTD). There appear to be a number of firms that either do not export one year and then exhibit large export transaction values the following year, or export large amounts followed immediately by zero exports. Focusing on the source of these large changes would help identify potential bad matches, high firm level export volatility or important mergers & acquisitions in the Business Register. This project will also examine whether imports displace domestic production and exports. This would require linking detailed information from the Census of Manufactures product trailer data, detailed information on products used from the material trailer data, other product information from the Current Industrial Reports, and product information from the LFTTD to examine the product composition of U.S. firms’ domestic production, imports, and exports. A number of firms import products they do not report using and report exporting products they do not report producing. Examining the product displacement from imports would require linking production and trade data at the firm level.",28,Annual Capital Expenditures Survey,ACE,Annual Retail Trade Survey,ARTS,Annual Survey of Manufactures,ASM,Auxiliary Establishment - ES9200,AUX,Business Expenditures Survey,BES,Census of Construction Industries,CCN,"Census of Finance, Insurance, and Real Estate",CFI,Commodity Flow Survey,CFS,Economic Census of Puerto Rico,CIAPR,Current Industrial Reports,CIR,Census of Manufactures,CMF,Census of Mining,CMI,Census of Retail Trade,CRT,Compustat-SSEL Bridge,CSB,Census of Services,CSR,"Census of Transportation, Communications, and Utilities",CUT,Census of Wholesale Trade,CWH,Exporter Database,EDB,Enterprise Summary Report - ES9100 (large company),ESR,Foreign Trade Data - Export,EXP,Integrated Longitudinal Business Database,ILBD,Foreign Trade Data - Import,IMP,Longitudinal Business Database - No Revenue,LBD,Longitudinal Foreign Trade Transactions Database,LFTTD,Service Annual Survey,SAS,Survey of Industrial Research and Development,SIRD,Standard Statistical Establishment Listing,SSL,Standard Statistical Establishment List - non Name and Address File,SSL_XNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Andrew B Bernard,Maliheh Birjandi-Feriz,Robert Dent,Antoine N Gervais,Sebastian Heise,J Bradford Jensen,Justin R Pierce,Peter K Schott,,,,,,,,,,,,,,,,,,,,,,,,,,
874,Completed,Constructing a Geography for Census Microdata,Atlanta,2013,2017.0,Nicholas Nagle,"This research uses restricted-use microdata from the 1970-2000 Decennial Censuses and 2005-2009 American Community Survey (ACS) to validate methods for estimating small area totals from public Census data and to evaluate the nature of disclosure protection present in the existing public data. The methodology developed and to be implemented by the research team generates sampling weights for allocating household records in the Public Use Microdata Samples (PUMS) to a given census tract. This methodology will allow users to combine public data in order to create population estimates with increased spatial resolution at the expense of increased statistical uncertainty. Such a tradeoff is desirable in many situations, and allowing researchers to choose between precision and uncertainty will increase the utility of publicly available Census data. In the process of the analysis, the researchers will also create a synthetic dataset from exclusively public sources, allowing them to assess the degree of disclosure protection present in existing public use samples.",3,American Community Survey,ACS,American Community Survey Unedited Microdata,ACSUNEDIT,Decennial Census,CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Kevin R Krivacsy,Ephraim Love,Nicholas Nagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
