Proj ID,Status,Title,RDC,Start Year,End Year,PI,Researcher
91,Completed,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance",Boston,2001,2005.0,Wayne Gray,Wayne Gray
91,Completed,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance",Boston,2001,2005.0,Wayne Gray,Ron Shadbegian
100,Completed,Survey Data on Capacity Utilization and Plant Work Patterns in U.S. Manufacturing,Washington,2001,2004.0,Kimberly N Bayard,Kimberly N Bayard
100,Completed,Survey Data on Capacity Utilization and Plant Work Patterns in U.S. Manufacturing,Washington,2001,2004.0,Kimberly N Bayard,Brian C Rowe
146,Completed,"""Estimating the Impact of Union Organization on Establishment Survival and Employment: Evidence from Census and Commercial Market Research Data""",Berkeley,2002,2003.0,David S Lee,David S Lee
163,Completed,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor,Washington,2005,2006.0,Mary E Farrell,Samuel M Elkin
163,Completed,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor,Washington,2005,2006.0,Mary E Farrell,Matthew Langley
170,Completed,The Role of Alternative Opportunities in the Female Labor Market On Teacher Supply and Quality: 1940-1990,UCLA,2002,2004.0,Marigee Bacolod,Marigee Bacolod
177,Completed,Multi-year Measures of Income and Poverty,Boston,2002,2004.0,Jeffrey B Liebman,Jeffrey B Liebman
177,Completed,Multi-year Measures of Income and Poverty,Boston,2002,2004.0,Jeffrey B Liebman,Erin Metcalf
177,Completed,Multi-year Measures of Income and Poverty,Boston,2002,2004.0,Jeffrey B Liebman,Dan Ramsey
177,Completed,Multi-year Measures of Income and Poverty,Boston,2002,2004.0,Jeffrey B Liebman,Lisa Sanbonmatsu
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,Mohammad Arzaghi
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,James C Davis
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,Vernon Henderson
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,Yukako Ono
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,Hyoung gun Wang
189,Completed,"Location, growth, and productivity in the manufacturing and service sectors",Boston,2002,2005.0,Vernon Henderson,Masaki Yamada
195,Completed,The Impact of Welfare Reform on Female Headship Decisions: A Supplementary Data Request,Boston,2002,2004.0,John M Fitzgerald,John M Fitzgerald
195,Completed,The Impact of Welfare Reform on Female Headship Decisions: A Supplementary Data Request,Boston,2002,2004.0,John M Fitzgerald,David C Ribar
202,Completed,An Examination of Adoption and Utilization of Electronic Commerce Technologies within US Firms,Triangle,2008,2011.0,Raja P Velu,Sathasivam Mathiyalakan
204,Completed,"Workplace Innovation, Business Performance, and Labor Market Outcomes",Boston,2002,2006.0,Lisa M Lynch,Sandra E Black
204,Completed,"Workplace Innovation, Business Performance, and Labor Market Outcomes",Boston,2002,2006.0,Lisa M Lynch,Lisa M Lynch
209,Completed,"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy",UCLA,2004,2005.0,David Rigby,Sebastien M Breau
209,Completed,"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy",UCLA,2004,2005.0,David Rigby,Brent Haydamack
209,Completed,"Prospects for Los Angeles in an Era of Globalization: Structural Economic Change, Employment Issues and Policy",UCLA,2004,2005.0,David Rigby,David Rigby
215,Completed,An Evaluation of Structural Change in U.S. Dairy Processing:  Plant Level Analyses of the Production of Manufactured Dairy Products,Chicago,2002,2004.0,Brian W Gould,Jorge Aguero
215,Completed,An Evaluation of Structural Change in U.S. Dairy Processing:  Plant Level Analyses of the Production of Manufactured Dairy Products,Chicago,2002,2004.0,Brian W Gould,Brian W Gould
237,Completed,Do Spin-offs and Carve-outs Discipline Firm Management? Empirical Evidence.,Boston,2002,2003.0,Debarshi K Nandy,Shan N He
237,Completed,Do Spin-offs and Carve-outs Discipline Firm Management? Empirical Evidence.,Boston,2002,2003.0,Debarshi K Nandy,Debarshi K Nandy
246,Completed,Diversification discount or premium? New evidence from BITS establishment-level data,Boston,2002,2003.0,Belen Villalonga,Belen Villalonga
247,Completed,Regulating Pollution Through Information Disclosure:  Facility Response to the Toxics Release Inventory,Triangle,2004,2007.0,Lori S Bennear,Lori S Bennear
255,Completed,Reaching the Uninsured Through the Individual Market for Health Insurance,Washington,2003,2004.0,Susan Marquis,Kanika Kapur
264,Completed,Plant-level responses to administered trade protection,Michigan,2003,2005.0,Jim A Levinsohn,Christopher J Kurz
264,Completed,Plant-level responses to administered trade protection,Michigan,2003,2005.0,Jim A Levinsohn,Jim A Levinsohn
265,Completed,Measurement and Analysis of Diversification,Washington,2003,2005.0,Namsuk Kim,Namsuk Kim
269,Completed,Measuring the Productivity Impact of Wireless Technology,Berkeley,2004,2006.0,Timothy S Simcoe,Evan T Rawley
269,Completed,Measuring the Productivity Impact of Wireless Technology,Berkeley,2004,2006.0,Timothy S Simcoe,Timothy S Simcoe
270,Completed,Import Competition for Domestic Producers:  Denim Cloth and Apparel,Triangle,2003,2005.0,Patrick J Conway,Charles B Braymen
270,Completed,Import Competition for Domestic Producers:  Denim Cloth and Apparel,Triangle,2003,2005.0,Patrick J Conway,Bidisha Lahiri
272,Completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,Boston,2004,2007.0,Michael Greenstone,Elizabeth L Greenwood
272,Completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,Boston,2004,2007.0,Michael Greenstone,Rema N Hanna
272,Completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,Boston,2004,2007.0,Michael Greenstone,Richard Hornbeck
272,Completed,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data,Boston,2004,2007.0,Michael Greenstone,Joshua Linn
273,Completed,The Changing Structure of The Human Services Industry,Michigan,2003,2004.0,David J Tucker,David Sommerfeld
273,Completed,The Changing Structure of The Human Services Industry,Michigan,2003,2004.0,David J Tucker,David J Tucker
276,Completed,Productivity Heterogeneity and Market Segmentation,Chicago,2003,2005.0,Chad W Syverson,Chad W Syverson
277,Completed,Vertical Integration,Chicago,2003,2005.0,Chad W Syverson,Ali Hortacsu
277,Completed,Vertical Integration,Chicago,2003,2005.0,Chad W Syverson,Chad W Syverson
284,Completed,Capital  Adjustment and Productivity Patterns of Plants and Firms in the U.S. Food and Kindred Products Industry,Michigan,2003,2005.0,Pinar Celikkol Geylani,Pinar Celikkol Geylani
286,Completed,Using the Survey of Plant Capacity to Measure Capital Utilization,Michigan,2005,2009.0,Matthew H Shapiro,Daniel H Cooper
286,Completed,Using the Survey of Plant Capacity to Measure Capital Utilization,Michigan,2005,2009.0,Matthew H Shapiro,Yuriy Gorodnichenko
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,John Bound
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,Elizabeth E Bruch
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,Arline T Geronimus
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,Erin L Linnenbringer
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,Annie E Ro
287,Completed,Health and Migration in the Continental United States,Michigan,2003,2012.0,Arline T Geronimus,Tara Shochet
289,Completed,The Importance of Relocations in U.S. Manufacturing,Michigan,2006,2008.0,Yoonsoo Lee,Yoonsoo Lee
293,Completed,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.,Chicago,2003,2007.0,Gale A Boyd,Karl D Boulware
293,Completed,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.,Chicago,2003,2007.0,Gale A Boyd,Ryan M Gallagher
293,Completed,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.,Chicago,2003,2007.0,Gale A Boyd,Nancy A Hammond
293,Completed,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.,Chicago,2003,2007.0,Gale A Boyd,Erika V Martinez
293,Completed,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.,Chicago,2003,2007.0,Gale A Boyd,Bela B Szemely
296,Completed,Revised: The Impact of Minimum Quality Standards on the Child Care Market,UCLA,2003,2005.0,Mo Xiao,Juan Pantano
296,Completed,Revised: The Impact of Minimum Quality Standards on the Child Care Market,UCLA,2003,2005.0,Mo Xiao,Mo Xiao
297,Completed,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data,CMU,2002,2005.0,Dennis Epple,Dennis Epple
297,Completed,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data,CMU,2002,2005.0,Dennis Epple,Michael Peress
297,Completed,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data,CMU,2002,2005.0,Dennis Epple,Holger Sieg
299,Completed,Intergenerational Inequality in the US,Chicago,2007,2011.0,Bhashkar Mazumder,David A Benson
299,Completed,Intergenerational Inequality in the US,Chicago,2007,2011.0,Bhashkar Mazumder,Jonathan M Davis
299,Completed,Intergenerational Inequality in the US,Chicago,2007,2011.0,Bhashkar Mazumder,Weiting Zhang
305,Completed,The Determinants of Industrial Location,Boston,2002,2004.0,Glenn Ellison,William R Kerr
305,Completed,The Determinants of Industrial Location,Boston,2002,2004.0,Glenn Ellison,Joshua Linn
306,Completed,Political Environments and Manufacturing Employment and Investment,Boston,2005,2007.0,William R Kerr,Shihe N Fu
306,Completed,Political Environments and Manufacturing Employment and Investment,Boston,2005,2007.0,William R Kerr,William R Kerr
306,Completed,Political Environments and Manufacturing Employment and Investment,Boston,2005,2007.0,William R Kerr,Ramana Nanda
308,Completed,"Corporate Finance, Governance and Firm Performance",Boston,2004,2007.0,Antoinette Schoar,Antoinette Schoar
312,Completed,Misreporting of Program Participation in the Current Population Survey:,UCLA,2002,2004.0,Jacob A Klerman,Jacob A Klerman
312,Completed,Misreporting of Program Participation in the Current Population Survey:,UCLA,2002,2004.0,Jacob A Klerman,Jeanne S Ringel
312,Completed,Misreporting of Program Participation in the Current Population Survey:,UCLA,2002,2004.0,Jacob A Klerman,Elizabeth Roth
331,Completed,"Race, Ethnicity, and Residential Choice in Multilevel Perspective",UCLA,2003,2006.0,Melissa C Chiu,Melissa C Chiu
331,Completed,"Race, Ethnicity, and Residential Choice in Multilevel Perspective",UCLA,2003,2006.0,Melissa C Chiu,Robert D Mare
333,Completed,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data,Washington,2004,2005.0,Javier - Miranda,Adela Luque
333,Completed,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data,Washington,2004,2005.0,Javier - Miranda,Javier - Miranda
342,Completed,Research on Establishment Management Practices Using the National Employer Surveys,Washington,2006,2009.0,William H Carter,Maria del rocio Bonet loscertales
342,Completed,Research on Establishment Management Practices Using the National Employer Surveys,Washington,2006,2009.0,William H Carter,William H Carter
342,Completed,Research on Establishment Management Practices Using the National Employer Surveys,Washington,2006,2009.0,William H Carter,Clinton D Chadwick
342,Completed,Research on Establishment Management Practices Using the National Employer Surveys,Washington,2006,2009.0,William H Carter,Mathis Schulte
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Gale A Boyd
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Philip S Doctor
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Nancy A Hammond
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Marianne Mintz
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Ki young Park
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Bela B Szemely
343,Completed,Modal Choice in Product Shipments,Chicago,2004,2008.0,Gale A Boyd,Anant ray D Vyas
348,Completed,The Health Care Safety Net and Employer Health Insurance Provision,Chicago,2004,2006.0,Anthony T Lo sasso,Anthony T Lo sasso
355,Completed,Endogenous Technical Change and Energy Prices,Chicago,2006,2010.0,Joshua Linn,Joshua Linn
362,Completed,The Industry Life-Cycle of the Size Distribution of Firms,Berkeley,2004,2005.0,Emin M Dinlersoz,Emin M Dinlersoz
364,Completed,The Effect of Local Demand Shocks on Labor Market Outcomes: A Natural Experiment in the Aircraft Manufacturing Industry,Washington,2005,2006.0,Keenan M Dworak-Fisher,Keenan M Dworak-Fisher
365,Completed,Competition and Industry Structure in Food Services,Chicago,2004,2007.0,Clarissa A Yeap,Ali Hortacsu
365,Completed,Competition and Industry Structure in Food Services,Chicago,2004,2007.0,Clarissa A Yeap,Thomas Hubbard
365,Completed,Competition and Industry Structure in Food Services,Chicago,2004,2007.0,Clarissa A Yeap,Chad W Syverson
365,Completed,Competition and Industry Structure in Food Services,Chicago,2004,2007.0,Clarissa A Yeap,Clarissa A Yeap
369,Completed,Capital Reallocation,Chicago,2003,2008.0,Andrea L Eisfeldt,Olesya N Baker
369,Completed,Capital Reallocation,Chicago,2003,2008.0,Andrea L Eisfeldt,Philip S Doctor
369,Completed,Capital Reallocation,Chicago,2003,2008.0,Andrea L Eisfeldt,Andrea L Eisfeldt
369,Completed,Capital Reallocation,Chicago,2003,2008.0,Andrea L Eisfeldt,Adriano A Rampini
378,Completed,Economic Integration and Labor Demand Elasticities,Washington,2004,2007.0,Mine Z Senses,Jim A Levinsohn
378,Completed,Economic Integration and Labor Demand Elasticities,Washington,2004,2007.0,Mine Z Senses,Mine Z Senses
381,Completed,The impact of banking market structure on the life-cycle dynamics of non-financial industries,Baruch,2006,2010.0,Nicola Cetorelli,Nicola Cetorelli
381,Completed,The impact of banking market structure on the life-cycle dynamics of non-financial industries,Baruch,2006,2010.0,Nicola Cetorelli,Atif R Mian
381,Completed,The impact of banking market structure on the life-cycle dynamics of non-financial industries,Baruch,2006,2010.0,Nicola Cetorelli,Anna M Peterson
390,Completed,The Anatomy of Census 2000,Boston,2003,2003.0,Norman H Nie,Dione Sunshine Hillygus
391,Completed,How Does Space Matter in Ethnic Labor Market Segmentation?,Triangle,2004,2005.0,Qingfang Wang,Qingfang Wang
395,Completed,Wages and the Organization of Human Capital:  Legal Services 1977-1997,Chicago,2004,2007.0,Thomas Hubbard,Paul S Heaton
396,Completed,Economic Strategies of Survival and Mobility:  Ethnic Entrepreneurship in the United States,Michigan,2004,2006.0,Zulema Valdez,Zulema Valdez
401,Completed,The Financial Assimilation of Immigrants,Chicago,2006,2011.0,Anna Paulson,Caitlin M Kearns
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Valeska A Araujo
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Gale A Boyd
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Nathan Chan
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Matthew L Freedman
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Ryan M Gallagher
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Rachel Goodell
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Timothy L Hamilton
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Tatyana V Kuzmenko
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Corey Lang
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Frank F Limehouse
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Xiangping Liu
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Thomas C Maslin
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Ralph A Mastromonaco
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Rosa L Matzkin
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Monica C McInerney Wood
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Sara Murray
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Joseph Persky
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Daniel J Phaneuf
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Laura O Taylor
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Gary A Thompson
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Christopher Timmins
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Nurgul Ukueva
406,Completed,Hedonic Models of Real Estate and Labor Markets,Chicago,2007,2012.0,Bhashkar Mazumder,Ryan K Vaughn
410,Completed,Temporary Help Industry and Local Market Conditions,Chicago,2005,2010.0,Yukako Ono,Philip S Doctor
410,Completed,Temporary Help Industry and Local Market Conditions,Chicago,2005,2010.0,Yukako Ono,Andrew J Goodman-Bacon
410,Completed,Temporary Help Industry and Local Market Conditions,Chicago,2005,2010.0,Yukako Ono,Britton J Lombardi
410,Completed,Temporary Help Industry and Local Market Conditions,Chicago,2005,2010.0,Yukako Ono,Yukako Ono
410,Completed,Temporary Help Industry and Local Market Conditions,Chicago,2005,2010.0,Yukako Ono,Daniel G Sullivan
412,Completed,US Minority Migration and Metropolitan Change,Michigan,2004,2008.0,William H Frey,William H Frey
412,Completed,US Minority Migration and Metropolitan Change,Michigan,2004,2008.0,William H Frey,Chang-cherng Sun
413,Completed,Rural Entrepreneurs and the Survival and Growth of Rural Entrepreneurial Firms,Chicago,2005,2008.0,Jason R Henderson,Jason R Henderson
413,Completed,Rural Entrepreneurs and the Survival and Growth of Rural Entrepreneurial Firms,Chicago,2005,2008.0,Jason R Henderson,Sean M Moore
420,Completed,The Role of Information Technology in Production,UCLA,2004,2005.0,Kevin Caves,Daniel A Ackerberg
420,Completed,The Role of Information Technology in Production,UCLA,2004,2005.0,Kevin Caves,Kevin Caves
422,Completed,Vertical Linkages and Investment Decisions,Chicago,2004,2007.0,Allan G Collard-Wexler,Allan G Collard-Wexler
422,Completed,Vertical Linkages and Investment Decisions,Chicago,2004,2007.0,Allan G Collard-Wexler,Kristina S Steffenson McElheran
423,Completed,Workplace Hazards: Determinants and Economic Impacts,Boston,2006,2011.0,Wayne Gray,Jonathan M Lee
423,Completed,Workplace Hazards: Determinants and Economic Impacts,Boston,2006,2011.0,Wayne Gray,Laura O Taylor
424,Completed,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms",Baruch,2008,2013.0,Stephen L Ross,Eugene Chang
429,Completed,Using Matched Employee Data to Examine Labor Market Dynamics and the Quality of DWS/CPS Data in California: 1991-2000,Berkeley,2003,2008.0,Andrew K Hildreth,Elizabeth W Handwerker
429,Completed,Using Matched Employee Data to Examine Labor Market Dynamics and the Quality of DWS/CPS Data in California: 1991-2000,Berkeley,2003,2008.0,Andrew K Hildreth,Andrew K Hildreth
429,Completed,Using Matched Employee Data to Examine Labor Market Dynamics and the Quality of DWS/CPS Data in California: 1991-2000,Berkeley,2003,2008.0,Andrew K Hildreth,Victor A Shlychkov
434,Completed,The Behavior of Small and Large Firms over the Business Cycle,Chicago,2005,2010.0,Patrick J Kehoe,Lawrence Christiano
434,Completed,The Behavior of Small and Large Firms over the Business Cycle,Chicago,2005,2010.0,Patrick J Kehoe,Joshua Davis
434,Completed,The Behavior of Small and Large Firms over the Business Cycle,Chicago,2005,2010.0,Patrick J Kehoe,Matthias G Kehrig
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Sarena F Goodman
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Ariella A Kahn-Lang
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Jeffrey B Liebman
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Joshua W Mitchell
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Emily R Tisdale
441,Completed,Measuring Income and Poverty from a Multi-year Perspective,Boston,2014,2016.0,Jeffrey B Liebman,Clara M Zverina
444,Completed,Learning By Doing In New Plants: An Investigation,UCLA,2005,2007.0,Natarajan N Balasubramanian,Natarajan N Balasubramanian
444,Completed,Learning By Doing In New Plants: An Investigation,UCLA,2005,2007.0,Natarajan N Balasubramanian,Marvin B Lieberman
444,Completed,Learning By Doing In New Plants: An Investigation,UCLA,2005,2007.0,Natarajan N Balasubramanian,Jagadeesh M Sivadasan
447,Completed,The Survival and Operation of Entrepreneurial Ventures,Chicago,2004,2008.0,Austan Goolsbee,Austan Goolsbee
447,Completed,The Survival and Operation of Entrepreneurial Ventures,Chicago,2004,2008.0,Austan Goolsbee,Jennifer M Paniza
447,Completed,The Survival and Operation of Entrepreneurial Ventures,Chicago,2004,2008.0,Austan Goolsbee,Margaret M Triyana
447,Completed,The Survival and Operation of Entrepreneurial Ventures,Chicago,2004,2008.0,Austan Goolsbee,Aleksey G Verkhivker
452,Completed,Neighborhood Physical Form and Residential Satisfaction,Cornell,2005,2006.0,Yizhao N Yang,Yizhao N Yang
455,Completed,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time,Triangle,2004,2006.0,John R Hipp,Kenneth A Bollen
455,Completed,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time,Triangle,2004,2006.0,John R Hipp,John R Hipp
466,Completed,IT and Organizational Capital,Boston,2005,2007.0,Adam R Saunders,Adam R Saunders
467,Completed,Dynamics of Plant-level Productivity in the U.S.,Triangle,2004,2008.0,T Kirk K White,T Kirk K White
482,Completed,Migrant Life History Project Analysis and Report,Baruch,2008,2009.0,Maritsa V Poros,Kuan-Yi Chen
482,Completed,Migrant Life History Project Analysis and Report,Baruch,2008,2009.0,Maritsa V Poros,Maritsa V Poros
487,Completed,Estimating the Impact of Education on Inequality and Enhancing the Comparability of Schooling Variables,Boston,2006,2011.0,Stacey H Chen,Joshua D Angrist
487,Completed,Estimating the Impact of Education on Inequality and Enhancing the Comparability of Schooling Variables,Boston,2006,2011.0,Stacey H Chen,Stacey H Chen
487,Completed,Estimating the Impact of Education on Inequality and Enhancing the Comparability of Schooling Variables,Boston,2006,2011.0,Stacey H Chen,Brigham R Frandsen
487,Completed,Estimating the Impact of Education on Inequality and Enhancing the Comparability of Schooling Variables,Boston,2006,2011.0,Stacey H Chen,Sally L Hudson
487,Completed,Estimating the Impact of Education on Inequality and Enhancing the Comparability of Schooling Variables,Boston,2006,2011.0,Stacey H Chen,Christopher R Walters
